2_1_1_0000e697d56efafe68a9,,,,,,,42284.34510569853,,,,,,,,,,,247381.74395967374,3045.0486749387255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50740.09083946078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111.111856617647,,,,,,,,,,,,,,,,,,,,,,,41342.59412817861,,,,,,,,,,,,,,,,,,,,,,2007,county_CO-08125,rainfed,
2_1_1_0000dd6067f92b8511c0,9460621.16643976,,,225436.98974609375,,,1.4032323571834788E7,789108.1096191406,71953.255859375,2399.0087890625,,47976.312744140625,,776383.0864832262,4797.28662109375,,,2.1780603110628715E8,1.2217057549753943E7,162189.74164464616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0842609202641506E7,,,,,,,,,,,,,,,667696.6714585248,57566.326171875,129525.2412109375,,,,,,,,1433458.0657628677,,,,1260629.7712967219,21584.5517578125,2398.86962890625,16792.678955078125,,,,,,,23983.21142578125,,,,,,,,,,,79159.63232421875,,8776952.179693244,,,,,,,,,,,,,,,,,,,,,,2007,county_NE-31057,rainfed,
2_1_1_000008fc3f1a21574f6a,1.163692342740493E8,,,457301.01513671875,,,9.899477946920574E7,2168902.153111596,351496.80078125,38520.5927734375,,28842.343994140625,,820462.0295410156,2406.75244140625,,267277.8386230469,1.3388754198408058E9,1.491507729897078E7,173145.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.563587167223029E8,,,,,,,,,,,40895.809326171875,,,144585.42260742188,,666688.1796875,421912.3828125,,,,,,,,2899954.374204389,,,,4.303254491445025E7,,,,,,,,,,158912.82934570312,,,,,,,,,,,5956920.54135455,,3.747866253203919E8,,16891.6396484375,,,,,,,,,,,,,,,,,452161.1335449219,,,2007,county_KS-20023,rainfed,
2_1_1_0000911923fc4681faa0,9.783525766298349E7,,,149446.61303710938,,,4.7845909910178274E7,371052.7782848882,33694.083740234375,,,12044.263671875,,932755.009816368,,,31364.31689453125,6.727000208694266E8,8728395.352616612,31323.13037109375,,,,,,,,554514.6799316406,,,,,,,,,,,,,,,,,,,,28964.572509765625,,,,,,,,,,,3.302194937388978E8,,,,,,,,,,,491509.49853515625,,,19294.7705078125,,248149.8359375,4814.758056640625,,,,,,,,5870937.675585937,,,,7.089754176958103E7,,,4823.7763671875,,,,,,,592260.9904785156,,,,,,,,,,,4586419.233886719,,1.8262776662049538E8,,,,,,,,,,,,,,,,,,,12027.077392578125,,,2007,county_KS-20153,rainfed,
2_1_1_000084935d2419ccb3a0,6.0432671218956776E7,,,7238.0810546875,,,1.7061855204305492E7,73915.84439338236,1504.980638212316,,,,,195442.1962890625,,,,2.1141859001913404E8,3035660.072325942,,,,,,,,,2410.662109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.562301672847351E7,,,,,,,,,,,139841.19140625,,,4828.1240234375,,7232.9345703125,,,,,,,,,2936286.643030982,,,,1.472977278868049E7,,,,,,,,,,79596.94580078125,,,,,,,,,,,426796.5490722656,,6.6146708579853095E7,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20039,rainfed,
2_1_1_0000792f7c1a4b32244d,4360648.768633196,,,16899.26220703125,,,3141716.0005246634,162132.7919921875,8139.733029833027,,,,,24137.534423828125,,,,6.766888682551225E7,2172328.7324668737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8284088.921561925,,,,,,,,,,,,,,,,89320.46875,,,,,,,,,895626.119330193,,,,2609256.3346210555,,,,,,,,,,28967.86572265625,,,,,,,,,,,4825.864990234375,,4812888.554177199,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20137,rainfed,
2_1_1_00009a07788eaaadb74c,8.677387291726601E7,,,978686.6931219363,,,6.074600011131666E7,4739509.455366306,200231.53906537226,7265.4892578125,,29028.80712890625,,312008.4558105469,4829.88232421875,,14509.7138671875,7.673533559352372E8,2.856476414388499E7,7252.581787109375,2419.10546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7767868659998557E8,,,,,,,,,,,114689.49562078738,,,9684.548095703125,4768.709061925551,285644.2966308594,,,,,,,,,3381340.3626551013,,,,1.0462760212140012E8,,,,,,,,,,2814143.287849456,,,,28989.451904296875,,,,,,,3107442.7126876535,,9.693908546209788E7,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20065,rainfed,
2_1_1_00007602286dd307ce60,6652169.175947839,,,7297.2841796875,,,5269929.494124349,384602.73342141544,36487.664794921875,4864.90380859375,,,,81740.70108570773,,,,4.5441877915942855E7,2344729.9376349957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2156959690022787E7,,,,,,,,,,,4869.313232421875,,,,,2434.920166015625,,,,,,,,,60806.42626953125,,,,9758107.733902039,,,,,,,,,,101922.10949467678,,,,,,,,,,,2008511.8785079657,,7662368.717596317,,,,,,,,,,,,,,,,,,,,,,2007,county_KS-20195,rainfed,
2_1_2_000017e4d43673e70b43,4.568496384009171E7,,,31462.3330078125,,,9316229.39476008,22691.943455116423,,,,,,45967.724365234375,,,4844.494140625,5.486897956852215E7,115009.76664560355,,,,,,,,,14517.120849609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7975329138589535E7,,,,,,,,,,,21783.111572265625,,,43852.282901539525,,9678.397216796875,,,,,,,,,810694.9409179688,,,,7849619.576711857,,,,,,,,,,399321.82080078125,,,,,,,,,,,70198.82861328125,,1.637716155567938E7,,,,,,,,,,,,,,,,,,,,,,2007,sheridan,rainfed,
2_2_0000b7a2444b3875b88a,4.6429465413403794E7,,,26610.948486328125,,,1.1964537881744023E7,274157.1116105622,21761.289794921875,4835.70068359375,,4837.89990234375,,12098.978759765625,,,,4.983989458363398E7,31445.166259765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1456931074970327E7,,,,,,,,,,,26605.20556640625,,,32060.531732536765,,2417.265625,2418.2802734375,,,,,,,,268572.8039550781,,,,9979400.128337547,,,,,,,,,,619963.1387005975,,,,,,,,,,,53235.64697265625,,2.169097051746036E7,,,,,,,,,,,,,,,,,,,,,,2007,null_geo9,rainfed,
