masterid,year,crop,volume_m3,area_m2,depth_m,system
sheridan,1996,2,295554.1428,667731.9,0.442625018,6
sheridan,1996,2,130822.8888,412779.72,0.316932235,3
null_geo9,1996,2,161758.5672,481576.34,0.335894723,3
sheridan,1996,2,250088.07,963152.68,0.259656303,3
null_geo9,1996,5,65954.1756,485623.2,0.1358138,3
null_geo9,1996,2,128577.9552,485623.2,0.2647696,3
null_geo9,1996,2,133154.166,501810.64,0.265348065,3
null_geo9,1996,2,125913.6384,445154.6,0.2828544,4
sheridan,1996,18,104932.1436,283280.2,0.370419086,3
sheridan,1996,2,135325.0908,477529.48,0.283386508,3
null_geo9,1996,2,171207.024,485623.2,0.352552,3
sheridan,1996,2,139395.5748,465388.9,0.299525635,4
sheridan,1996,2,133647.558,566560.4,0.235893429,4
sheridan,1996,2,314796.4308,647497.6,0.48617505,1
sheridan,1996,2,154382.3568,615122.72,0.250978737,6
null_geo9,1996,2,144378.834,485623.2,0.297307,3
sheridan,1996,2,176708.3448,493716.92,0.357915148,3
sheridan,1996,2,178521.5604,505857.5,0.352909632,3
sheridan,1996,2,137915.3988,550372.96,0.250585941,3
sheridan,1996,2,217314.5064,497763.78,0.436582634,4
sheridan,1996,24,127418.484,493716.92,0.258080656,3
sheridan,1996,2,165705.7032,323748.8,0.5118354,1
null_geo9,1996,2,168604.3812,428967.16,0.393048226,3
sheridan,1996,2,257291.5932,445154.6,0.577983927,1
null_geo9,1996,2,170072.2224,485623.2,0.3502152,3
sheridan,1996,2,278001.7224,971246.4,0.2862326,4
null_geo9,1996,2,297083.658,942918.38,0.315069013,3
sheridan,1996,2,318028.1484,497763.78,0.638915317,3
sheridan,1996,2,132192.0516,437060.88,0.302457556,4
sheridan,1996,2,317399.0736,813418.86,0.390204657,6
null_geo9,1996,9,162399.9768,566560.4,0.286642629,4
null_geo9,1996,2,219966.4884,768903.4,0.286078863,3
sheridan,1996,23,144995.574,607029,0.2388616,1
sheridan,1996,24,141048.438,501810.64,0.281079677,3
sheridan,1996,2,367947.084,647497.6,0.5682615,1
null_geo9,1996,2,209629.926,485623.2,0.431673,3
sheridan,1996,25,183221.1192,987433.84,0.185553246,4
sheridan,1996,25,171268.698,1011715,0.16928592,4
null_geo9,1996,2,162116.2764,647497.6,0.25037415,3
null_geo9,1996,2,147277.512,477529.48,0.308416271,3
null_geo9,1996,2,199305.6984,485623.2,0.4104132,3
null_geo9,1996,2,143848.4376,404686,0.35545776,3
sheridan,1996,2,146747.1156,550372.96,0.266632765,4
sheridan,1996,2,92412.3216,485623.2,0.1902968,4
null_geo9,1996,2,278322.4272,991480.7,0.28071458,3
sheridan,1996,2,203474.8608,485623.2,0.4189984,4
null_geo9,1996,5,79941.8388,485623.2,0.1646174,3
null_geo9,1996,2,166766.496,424920.3,0.392466286,3
sheridan,1996,16,154259.0088,364217.4,0.423536533,4
sheridan,1996,2,164977.95,728434.8,0.226483333,3
sheridan,1996,2,274251.9432,667731.9,0.410722618,6
null_geo9,1996,44,441536.5008,1396166.7,0.316249878,1
null_geo9,1996,2,106424.6544,493716.92,0.215558557,3
sheridan,1996,25,191584.1136,534185.52,0.358648,1
sheridan,1996,2,155665.176,433014.02,0.359493084,4
